Parola,Traduzione,Nota,Esempio,FileVideo,Spiegazione
Праздновать,Festeggiare,Глагол несовершенного вида,Мы празднуем день рождения. - Festeggiamo il compleanno.,33_video.mp4,Делать что-то веселое в важный день
Последний,Ultimo,Обозначает конечный элемент.,Это мой последний шанс. - Questa è la mia ultima possibilità.,34_video.mp4,"Это то, что идёт в самом конце. После него ничего нет."
Будильник,Sveglia,Мужской род.,Мой будильник звонит в семь утра. - La mia sveglia suona alle sette di mattina.,23_video.mp4,"Это часы, которые звонят утром."
Лошадь,Cavallo,Это слово женского рода,Лошадь очень быстро бегает - Il cavallo corre molto velocemente,24_video.mp4,Это большое и сильное животное
Зарплата,Stipendio,Разговорная форма от заработная плата,У него большая зарплата - Ha un grande stipendio,25_video.mp4,Это деньги за работу каждый месяц
Повышение зарплаты,Aumento di stipendio,Обычно происходит раз в год,Я получил повышение зарплаты - Ho ricevuto un aumento di stipendio,26_video.mp4,Это когда человек работает и получает больше денег
Сливочное масло,Burro,Используется для бутербродов,Я ем хлеб и сливочное масло. - Mangio pane e burro.,27_video.mp4,Это вкусный продукт из молока для каши и хлеба
Гордый,Orgoglioso,Può avere un significato positivo o negativo,Я гордый отец - Sono un padre orgoglioso,28_video.mp4,Это чувство когда человек очень рад за себя или друга
Обеспокоенный,Preoccupato,Мужской род,Он сегодня очень обеспокоенный. - Oggi è molto preoccupato,29_video.mp4,Это когда человек много думает о проблемах и волнуется
Волнуется,Si preoccupa,Si scrive senza ь per la terza persona singolare,Мама волнуется - La mamma si preoccupa,30_video.mp4,Человек нервничает или боится.
Рисовать,Dipingere,Si usa per l'atto artistico.,Он умеет хорошо рисовать - Lui sa dipingere bene,31_video.mp4,Когда человек делает красивую картину красками.
Оливковое масло,Olio d'oliva,Средний род,Я люблю салат с оливковым маслом. - Mi piace l'insalata con l'olio d'oliva.,32_video.mp4,Это масло делают из оливок. Оно полезное.
Обжаривать,Soffriggere,Используйте масло и малый огонь,Обжаривать лук до золотистого цвета - Soffriggere la cipolla fino a doratura,33_video.mp4,Немного жарить еду на сковороде с маслом
Фляжка,Borraccia,Слово часто используется для спорта и туризма.,Я налил воду в свою фляжку. - Ho versato l'acqua nella mia borraccia.,34_video.mp4,Это маленькая бутылка для воды. Её удобно брать в поход или в спортзал.
Бык,Toro,Può indicare anche il segno zodiacale,На ферме есть большой бык. - Nella fattoria c'è un grande toro.,35_video.mp4,Это большое сильное животное
Баран,Montone,Также это знак зодиака Овен,Баран ест траву. - Il montone mangia l'erba.,36_video.mp4,Это самец овцы у него есть рога
Рога,Corna,Plurale di рог (corno).,У оленя большие рога. - Il cervo ha grandi corna.,37_video.mp4,Это твердые части на голове у животных.
Солома,Paglia,Sostantivo femminile,Шляпа сделана из соломы. - Il cappello è fatto di paglia.,38_video.mp4,Это сухие стебли растений после сбора урожая.
Сено,Fieno,Существительное среднего рода,Корова ест сено - La mucca mangia il fieno,39_video.mp4,Это сухая трава для еды коров и лошадей
Стола,Stola,В моде её также называют палантин.,Она купила красивую столу. - Ha comprato una bella stola.,40_video.mp4,Это длинная и широкая накидка на плечи. Её носят женщины или священники.
